Reaction Date,Reaction Type,Parent Type,Parent ID
"May 13, 2020, 11:01:26 PM",Kudos,Activity,3446616117
"May 15, 2020, 2:06:11 PM",Kudos,Activity,3452893417
"May 15, 2020, 2:06:27 PM",Kudos,Activity,3447572161
"May 15, 2020, 4:55:54 PM",Kudos,Activity,3455646953
"May 17, 2020, 4:04:07 AM",Kudos,Activity,3463244763
"May 17, 2020, 4:04:22 AM",Kudos,Activity,3462365490
"May 30, 2020, 7:44:25 PM",Kudos,Activity,3535963335
"May 30, 2020, 7:44:31 PM",Kudos,Activity,3531406974
"May 30, 2020, 7:44:42 PM",Kudos,Activity,3537406960
"May 30, 2020, 7:44:50 PM",Kudos,Activity,3537323695
"May 30, 2020, 7:44:58 PM",Kudos,Activity,3535739317
"May 30, 2020, 7:45:08 PM",Kudos,Activity,3528389145
"Jun 7, 2020, 10:37:30 PM",Kudos,Activity,3580425228
"Jun 7, 2020, 10:37:51 PM",Kudos,Activity,3574476836
"Jun 15, 2020, 8:30:21 PM",Kudos,Activity,3610701056
"Jun 22, 2020, 11:21:06 PM",Kudos,Activity,3651639500
"Jun 22, 2020, 11:21:19 PM",Kudos,Activity,3651577951
"Jun 22, 2020, 11:21:25 PM",Kudos,Activity,3651341812
"Jun 22, 2020, 11:21:52 PM",Kudos,Activity,3651182130
"Jun 26, 2020, 4:29:38 PM",Kudos,Activity,3672082243
"Jun 28, 2020, 8:56:36 PM",Kudos,Activity,3680873677
"Jun 28, 2020, 8:56:42 PM",Kudos,Activity,3683941347
"Jul 4, 2020, 10:45:05 PM",Kudos,Activity,3714431928
"Jul 12, 2020, 9:14:53 PM",Kudos,Activity,3753110077
"Jul 13, 2020, 1:02:56 PM",Kudos,Activity,3755474920
"Jul 13, 2020, 1:03:17 PM",Kudos,Activity,3751313444
"Jul 16, 2020, 1:19:22 AM",Kudos,Activity,3768560147
"Jul 16, 2020, 10:38:15 PM",Kudos,Activity,3769107357
"Jul 20, 2020, 10:33:44 PM",Kudos,Activity,3781421205
"Jul 25, 2020, 1:39:25 PM",Kudos,Activity,3808341796
"Jul 29, 2020, 2:35:04 PM",Kudos,Activity,3830722962
"Jul 29, 2020, 2:35:19 PM",Kudos,Activity,3830368096
"Aug 9, 2020, 1:23:13 AM",Kudos,Activity,3884019205
"Aug 9, 2020, 1:23:22 AM",Kudos,Activity,3870267225
"Aug 10, 2020, 1:41:55 AM",Kudos,Activity,3889276417
"Aug 10, 2020, 1:41:56 AM",Kudos,Activity,3889244729
"Aug 14, 2020, 9:21:07 PM",Kudos,Activity,3907635194
"Aug 19, 2020, 8:52:07 PM",Kudos,Activity,3936379878
"Aug 19, 2020, 8:52:18 PM",Kudos,Activity,3935524352
"Aug 22, 2020, 12:17:23 AM",Kudos,Activity,3945420586
"Aug 22, 2020, 12:19:17 AM",Kudos,Activity,3938837981
"Aug 22, 2020, 10:23:06 PM",Kudos,Activity,3951214390
"Aug 22, 2020, 10:23:12 PM",Kudos,Activity,3949731393
"Aug 27, 2020, 9:43:37 PM",Kudos,Activity,3973389966
"Aug 28, 2020, 12:31:24 PM",Kudos,Activity,3975742852
"Aug 28, 2020, 12:31:33 PM",Kudos,Activity,3975102897
"Aug 28, 2020, 2:01:32 PM",Kudos,Activity,3977277858
"Aug 29, 2020, 4:48:27 PM",Kudos,Activity,3982694043
"Aug 29, 2020, 6:33:48 PM",Kudos,Activity,3983001910
"Aug 30, 2020, 4:16:49 AM",Kudos,Activity,3983623554
"Sep 5, 2020, 12:46:56 AM",Kudos,Activity,4010953061
"Sep 12, 2020, 5:21:30 PM",Kudos,Activity,4046414422
"Sep 12, 2020, 5:21:36 PM",Kudos,Activity,4045744943
"Sep 15, 2020, 12:47:31 PM",Kudos,Activity,4060339013
"Sep 15, 2020, 12:47:58 PM",Kudos,Activity,4055680828
"Sep 24, 2020, 9:33:14 PM",Kudos,Activity,4107685033
"Oct 2, 2020, 10:12:56 PM",Kudos,Activity,4139769612
"Oct 8, 2020, 4:37:37 PM",Kudos,Activity,4156986983
"Oct 8, 2020, 4:38:00 PM",Kudos,Activity,4156672713
"Oct 25, 2020, 3:05:50 PM",Kudos,Activity,4236837823
"Nov 3, 2020, 3:34:21 AM",Kudos,Activity,4278013850
"Nov 3, 2020, 3:34:46 AM",Kudos,Activity,4269298348
"Nov 3, 2020, 8:37:53 PM",Kudos,Activity,4280887835
"Nov 7, 2020, 2:21:10 PM",Kudos,Activity,4299256049
"Nov 11, 2020, 8:11:29 PM",Kudos,Activity,4319976401
"Nov 11, 2020, 10:40:11 PM",Kudos,Activity,4324669688
"Nov 11, 2020, 10:40:28 PM",Kudos,Activity,4324688255
"Nov 11, 2020, 10:40:35 PM",Kudos,Activity,4315267391
"Nov 11, 2020, 10:40:43 PM",Kudos,Activity,4315102245
"Nov 11, 2020, 10:40:52 PM",Kudos,Activity,4304618964
"Nov 22, 2020, 2:52:46 PM",Kudos,Activity,4366216929
"Nov 22, 2020, 11:33:45 PM",Kudos,Activity,4377569402
"Nov 22, 2020, 11:33:54 PM",Kudos,Activity,4376518863
"Nov 22, 2020, 11:34:27 PM",Kudos,Activity,4376447002
"Nov 28, 2020, 7:23:21 PM",Kudos,Activity,4400105805
"Dec 8, 2020, 12:38:17 AM",Kudos,Activity,4443696534
"Dec 8, 2020, 12:38:36 AM",Kudos,Activity,4442195796
"Dec 8, 2020, 12:38:45 AM",Kudos,Activity,4439793616
"Dec 13, 2020, 2:29:02 PM",Kudos,Activity,4465102697
"Dec 13, 2020, 2:29:45 PM",Kudos,Activity,4455495309
"Dec 13, 2020, 2:29:48 PM",Kudos,Activity,4451825270
"Dec 23, 2020, 6:53:43 PM",Kudos,Activity,4506229292
"Dec 23, 2020, 6:53:56 PM",Kudos,Activity,4506415908
"Dec 23, 2020, 6:54:06 PM",Kudos,Activity,4509272896
"Jan 11, 2021, 4:17:43 AM",Kudos,Activity,4601451727
"Jan 24, 2021, 2:34:21 AM",Kudos,Activity,4670013700
"Jan 24, 2021, 2:51:31 AM",Kudos,Activity,4671064099
"Jan 31, 2021, 4:51:59 PM",Kudos,Activity,4706765600
"Feb 2, 2021, 6:33:53 PM",Kudos,Activity,4714524490
"Feb 3, 2021, 2:06:58 PM",Kudos,Activity,4724508103
"Feb 3, 2021, 2:07:18 PM",Kudos,Activity,4724894861
"Feb 4, 2021, 4:21:10 AM",Kudos,Activity,4730610627
"Feb 4, 2021, 4:21:15 AM",Kudos,Activity,4729277823
"Feb 10, 2021, 4:42:25 PM",Kudos,Activity,4763114885
"Feb 10, 2021, 4:42:28 PM",Kudos,Activity,4763419655
"Mar 4, 2021, 3:02:45 AM",Kudos,Activity,4880488728
"Mar 31, 2021, 10:28:44 PM",Kudos,Activity,5046084881
"Apr 1, 2021, 12:13:15 PM",Kudos,Activity,5038917772
"Apr 1, 2021, 12:13:18 PM",Kudos,Activity,5040887510
"Apr 1, 2021, 12:13:21 PM",Kudos,Activity,5034542230
"Apr 1, 2021, 12:13:24 PM",Kudos,Activity,5040886222
"Apr 5, 2021, 12:07:12 AM",Kudos,Activity,5064114041
"Apr 5, 2021, 12:08:53 AM",Kudos,Activity,5063196116
"Apr 5, 2021, 12:09:01 AM",Kudos,Activity,5064809995
"Apr 12, 2021, 1:07:21 AM",Kudos,Activity,5111549509
"Apr 19, 2021, 12:47:38 PM",Kudos,Activity,5144043677
"Apr 19, 2021, 12:48:04 PM",Kudos,Activity,5133864389
"Apr 23, 2021, 12:30:58 AM",Kudos,Activity,5174838265
"Apr 24, 2021, 3:27:13 AM",Kudos,Activity,5175368972
"May 5, 2021, 11:14:38 PM",Kudos,Activity,5248235267
"May 6, 2021, 12:03:45 AM",Kudos,Activity,5243439982
"May 6, 2021, 12:04:04 AM",Kudos,Activity,5243515835
"May 6, 2021, 12:04:07 AM",Kudos,Activity,5248666618
"May 23, 2021, 4:01:53 AM",Kudos,Activity,5339720800
"May 24, 2021, 12:29:37 PM",Kudos,Activity,5346346031
"Jun 20, 2021, 10:27:54 PM",Kudos,Activity,5498051417
"Jun 20, 2021, 10:28:31 PM",Kudos,Activity,5487497208
"Jul 4, 2021, 9:19:57 PM",Kudos,Activity,5575149939
"Jul 8, 2021, 4:41:18 AM",Kudos,Activity,5592135010
"Jul 27, 2021, 3:05:40 AM",Kudos,Activity,5692488857
"Jul 27, 2021, 3:05:44 AM",Kudos,Activity,5681408540
"Aug 15, 2021, 8:13:11 PM",Kudos,Activity,5798165163
"Aug 15, 2021, 8:13:22 PM",Kudos,Activity,5791251743
"Aug 15, 2021, 8:14:41 PM",Kudos,Activity,5781028587
