Comment Date,Comment
"Sep 30, 2023, 6:31:41 PM",🔥🔥🔥
"Oct 12, 2023, 3:00:13 PM","Thanks, Emy Merriman  ! Def not the first time this has happened 😂 I’m becoming an expert crasher lol "
"Oct 28, 2023, 5:25:56 PM",Thanks Michael Rapp! It was a tough one 😅
"Oct 28, 2023, 5:47:00 PM",🔥🔥🔥
"Oct 28, 2023, 7:18:57 PM",Looks chilly!!!! 😍❄️
"Oct 28, 2023, 7:24:19 PM","Thanks, Cait Gomez!!! "
"Oct 28, 2023, 9:33:28 PM","Right back atcha, Lane Tucker !!! 🏃🏼"
"Oct 28, 2023, 9:36:14 PM",Cooooooool! 😍
"Nov 2, 2023, 3:06:30 AM",Emy Merriman  same!!! 
"Nov 2, 2023, 3:09:19 AM","So glad you can breathe at least, Emy Merriman !!!"
"Nov 19, 2023, 10:45:39 PM",Not the bike bags!!!! 😭😭
"Nov 26, 2023, 6:32:14 PM",It looks beautiful!!! ❄️❄️
"Dec 3, 2023, 6:09:50 PM",Thanks guys! It was a blast!!
"Dec 3, 2023, 6:10:06 PM",🔥🔥🔥🔥
"Dec 3, 2023, 6:10:23 PM",🔥🔥🔥
"Dec 3, 2023, 6:10:48 PM",Yassssssssss!!! 🔥🔥🔥
"Dec 3, 2023, 6:11:12 PM",🔥🔥🔥  go Claudia!!!
"Dec 3, 2023, 6:11:44 PM",NICE!!! 🔥🔥🔥
"Dec 3, 2023, 6:12:57 PM",🔥🔥🔥🔥 crushed it!!
"Dec 3, 2023, 6:13:11 PM",🔥🔥🔥
"Dec 8, 2023, 11:20:41 PM","You win this time, Cait Gomez! 😂"
"Dec 15, 2023, 6:49:28 PM",Tuna gets a necklace and all you get is a cramp?!?! Not fair!
"Dec 21, 2023, 7:48:18 PM",RUDY!!!
"Dec 21, 2023, 11:12:45 PM",🔥🔥🔥
"Dec 25, 2023, 9:48:34 PM","Thanks, guys!!! And merry Christmas to all!!! 🎄❄️🎅🏼🎄
Jasmine Hietpas I am training for the prickly pear 50k in San Antonio! How about you!?!?"
"Dec 26, 2023, 2:51:57 AM",Jasmine Hietpas that’s awesome!!! I hope it goes well!!! Your first??? This will be my first 50k!!
"Dec 27, 2023, 5:40:12 AM",Wooooo nice work!!! 🔥🔥🔥 Wish I could have made it out this morning!!! 
"Dec 27, 2023, 5:40:52 AM",Crushed it!!! 🔥🔥🔥 can’t wait for next week!!!
"Dec 28, 2023, 6:04:32 PM",😂😂 Cait Gomez he is very stoic!
"Jan 1, 2024, 7:36:21 PM",We missed you Cait Gomez! Hope you’re getting some amazing hikes and runs in in west tx!
"Jan 2, 2024, 5:12:38 PM",Cait Gomez we missed you! See ya next week?!
"Jan 3, 2024, 3:50:34 PM",Oh no did you get sprayed?!?! I got sprayed on the salado greenway once and it was horrible!
"Jan 3, 2024, 8:58:09 PM",😭😭😭😭 poor Bingus!!! Hey Maybe you’ll become immune to the smell if it keeps happening! 🦨😵‍💫
"Jan 7, 2024, 2:31:58 PM",🔥🔥🔥
"Jan 8, 2024, 5:10:59 PM",Collin Sepulveda oh come on! America’s team! 💚💛🏈
"Jan 15, 2024, 12:40:20 PM",CRUSHED IT!!!! Great job out there!!! Thanks for pushing me! 🔥🔥🔥
"Jan 15, 2024, 12:41:20 PM",CONGRAAAATS!!! 🔥🔥🔥🔥
"Jan 15, 2024, 12:42:17 PM","Nice job, Lacey!!! Great finish!!!! 🔥🔥🔥🔥"
"Jan 15, 2024, 12:43:37 PM",CAIT!!! You crushed it!!!! What a strong finish!! 🔥🔥🔥
"Jan 15, 2024, 12:52:21 PM",Congrats Courtney!!! Awesome run! You are an inspiration!!! 🔥🔥🔥🔥
"Jan 15, 2024, 12:53:01 PM",Crushed it! Congrats on hitting your goals!!! 🔥🔥
"Jan 15, 2024, 12:54:13 PM","WOW!!!! Amazing finish! Congrats, Sarah!!!"
"Jan 15, 2024, 12:54:54 PM",Yasssss! Crushed it!!!! 🔥🔥🔥🔥
"Jan 17, 2024, 5:20:13 PM",Sutton Ogden and Michael Rapp keepin us on our toes with these non-integer lap intervals! It was too cold to look at the watch so who knows what we actually did 🤷🏼‍♀️😅
"Jan 18, 2024, 11:53:37 AM",Were you late???
"Jan 19, 2024, 6:41:06 PM",You got out there and pushed through tho!!! 💪🏼💪🏼
"Jan 20, 2024, 5:44:19 PM","Thanks, guys! It was a tough one!!! Good luck to everyone getting out tomorrow!!! "
"Jan 29, 2024, 1:09:57 PM",Poor tunie!!! 😭❤️‍🩹
"Feb 5, 2024, 11:30:15 AM",CRUSHED IT!!!! Hooray for Tracy coming in clutch with the phone call!!!
"Feb 5, 2024, 11:30:54 AM",YASSSS 🔥🔥🔥🔥
"Feb 5, 2024, 2:40:53 PM","Skunk - 0, Katie and Cale - 1!"
"Feb 7, 2024, 10:03:59 PM",Thanks guys! Missed my Wednesday morning with CDTC! See you guys next week!
"Feb 11, 2024, 3:29:48 AM",mochu runner hahaha it was actually a lot of fun!!! I was exploring and dodging thorns so it was a lot more entertaining than it looks!
"Feb 11, 2024, 8:57:48 PM",Yasssssss!!! 🔥🔥🔥🔥
"Feb 11, 2024, 8:58:31 PM",looks beautiful!!!!
"Feb 17, 2024, 11:14:40 PM","It was beautiful but freezing!!!! Missed you guys and the warmth today Claudia  La Beau and Cait Gomez!!! 
@Jasmine Hietpas congrats on getting out there! I saw you did over 12?!?! Idk how you do this all winter long!!"
"Feb 24, 2024, 11:27:43 PM","Thanks, Claudia  La Beau!!! Missed you out there this morning!!!"
"Feb 24, 2024, 11:28:35 PM",🔥🔥🔥🔥🔥🔥🔥🔥
"Feb 26, 2024, 5:43:20 PM",Cait Gomez we can make it a habit! 🥞🥞🥞🥞
"Mar 2, 2024, 10:37:18 PM",A perfect end to prickly pear training at Mac! 🌮☕️🏃‍♀️
"Mar 4, 2024, 7:49:58 PM",Wow you didn’t even do the route I hate! 
"Mar 11, 2024, 2:05:16 AM",Weeeee did ittttttt!!!!! 
"Mar 24, 2024, 11:55:34 PM",mochu runner it was sooooo beautiful!!!
"Apr 12, 2024, 5:44:40 PM",Cait Gomez I wouldn’t trust anyone else with it!! 🤝🤝🤝
"Apr 21, 2024, 8:35:42 PM",🔥🔥🔥 we did it!!
"May 7, 2024, 9:44:53 PM",Brandon Ruiz missed ya out there!!
"May 9, 2024, 12:08:07 PM",Teeny toes!!! 😍😍
"May 12, 2024, 11:26:47 AM",CONGRATSSS!!! Awesome finish!!! 🔥🔥🔥 also it looks absolutely beautiful!!! What did you think of the course??
"May 16, 2024, 6:11:14 PM",Emy Merriman  join the golden hour sk8 crew!! 
