Comment Date,Comment
"Jul 9, 2022, 3:06:27 AM",Cool!! Let’s go next month??
"Jul 10, 2022, 12:29:52 AM",Wow nice!!
"Aug 5, 2022, 10:38:11 PM",Tight butt
"Aug 13, 2022, 10:15:40 PM",Let’s see em
"Aug 17, 2022, 4:42:47 PM","Banana slug I think, so potassium"
"Aug 24, 2022, 2:33:21 AM",Track looks pretty round haha
"Aug 27, 2022, 2:05:42 PM",🔥🔥🔥
"Sep 2, 2022, 10:00:12 PM",El Grito 5K on the river with the fam!
"Sep 3, 2022, 5:33:11 PM",Hell yeah brother 🥊
"Sep 14, 2022, 11:51:11 AM",Just visiting!
"Sep 15, 2022, 6:41:04 PM",Hot boy summer!!
"Sep 17, 2022, 2:37:24 PM",Big big run
"Sep 17, 2022, 5:49:01 PM",🔥🔥🔥
"Sep 18, 2022, 7:43:42 PM",mountain biking?
"Sep 18, 2022, 8:10:33 PM",Yeah they help vibration and when you fall
"Sep 22, 2022, 6:27:12 PM",won't be breaking any world records in them but I didn't have any of the aches & pains that come up occasionally. So I guess good!
"Sep 28, 2022, 3:52:48 AM",Tight!!
"Oct 1, 2022, 8:52:13 PM",Viet M I have the heart of a blue whale
"Oct 1, 2022, 8:59:30 PM",lmao
"Oct 7, 2022, 1:03:30 AM",What run club??
"Nov 1, 2022, 1:58:08 AM",Can’t wait to spend my hard earned money on twitter
"Dec 9, 2022, 8:24:35 PM",Looks like a cat meow
"Dec 19, 2022, 11:02:00 PM","Idk, one seemed like last night and one this morning"
"Jan 1, 2023, 8:44:20 PM",You got a race coming up? 
"Jan 8, 2023, 4:59:50 PM",This is the route of that race right zack bassett 
"Jan 8, 2023, 9:52:51 PM",Lake union 10k! In august
"Feb 6, 2023, 4:58:27 PM",lmao Town Lake sprint is the boardwalk swamp
"Feb 11, 2023, 7:49:08 PM",🔥🔥🔥
"Feb 22, 2023, 12:30:35 PM",lmao buy lightweight shoes or remove a body part? Easy decision 
"Feb 24, 2023, 1:22:27 AM",Fast boi
"Mar 13, 2023, 6:31:38 PM",🔥🔥🔥
"Mar 16, 2023, 3:14:16 PM",GSG
"Mar 18, 2023, 12:43:54 AM",Speedy!!
"Mar 18, 2023, 12:47:23 PM",🫦
"Mar 28, 2023, 12:43:33 AM",NASCAR 
"Mar 30, 2023, 11:01:28 AM",🔥
