Shoe Name,Shoe Brand,Shoe Model,Shoe Default Sport Types
silvers,New Balance,Fresh Foam 880v10,""
blues,New Balance,Fresh Foam 880v10,""
"",Brooks,Glycerin 19,""
Shift 2A,Saucony,Endorphin Shift 2,""
purps,New Balance,Fresh Foam Hierro v7,""
yella,Saucony,Endorphin Speed 2,""
