Follower Athlete ID,Follow Status,Created At
25687147,Accepted,"Mar 20, 2019, 3:51:41 AM"
31026404,Accepted,"Mar 20, 2019, 3:51:45 AM"
208431,Accepted,"Mar 20, 2019, 4:43:29 AM"
9743371,Accepted,"Mar 20, 2019, 12:48:00 PM"
30181779,Accepted,"May 6, 2019, 11:29:38 AM"
43661781,Accepted,"Jun 26, 2019, 2:57:01 PM"
38784151,Accepted,"Jul 6, 2019, 6:58:31 PM"
44320339,Accepted,"Jul 20, 2019, 2:25:41 PM"
46258910,Accepted,"Sep 9, 2019, 1:46:50 AM"
12242608,Accepted,"Dec 23, 2019, 9:08:41 AM"
49130953,Accepted,"Dec 23, 2019, 9:09:07 AM"
49248409,Accepted,"Apr 13, 2020, 5:11:16 PM"
54132119,Accepted,"Apr 14, 2020, 2:40:50 AM"
51219301,Accepted,"Apr 17, 2020, 2:14:04 AM"
63092657,Accepted,"Jul 6, 2020, 1:59:05 AM"
50313850,Accepted,"Sep 7, 2020, 8:57:55 PM"
70788504,Accepted,"Oct 24, 2020, 1:18:11 PM"
70225429,Accepted,"Mar 21, 2021, 7:08:48 PM"
84642315,Accepted,"May 2, 2021, 6:11:31 PM"
19726580,Accepted,"Jul 26, 2021, 7:47:27 PM"
16299341,Accepted,"Oct 19, 2021, 2:46:51 AM"
95980744,Accepted,"Jan 19, 2022, 1:59:51 PM"
19595587,Accepted,"Mar 19, 2022, 12:51:40 AM"
76889818,Accepted,"Jul 5, 2022, 1:46:42 PM"
88025369,Accepted,"Oct 24, 2022, 3:15:46 PM"
108639575,Accepted,"Jan 28, 2023, 1:37:05 AM"
67158732,Accepted,"Mar 3, 2023, 11:57:02 PM"
2019923,Accepted,"Mar 4, 2023, 12:02:33 PM"
6030534,Accepted,"May 26, 2023, 4:41:51 PM"
9935263,Accepted,"Jun 7, 2023, 4:00:49 PM"
34450849,Accepted,"Jun 17, 2023, 12:10:06 PM"
525912,Accepted,"Jul 12, 2023, 6:41:38 PM"
488951,Accepted,"Jul 13, 2023, 1:15:28 PM"
32410791,Accepted,"Jul 13, 2023, 4:19:19 PM"
49525169,Accepted,"Jul 25, 2023, 2:58:33 PM"
29738,Accepted,"Jul 25, 2023, 10:32:15 PM"
54079375,Accepted,"Aug 3, 2023, 3:15:27 AM"
48546669,Accepted,"Aug 3, 2023, 4:03:51 AM"
25426229,Accepted,"Aug 3, 2023, 11:45:26 AM"
19138758,Accepted,"Aug 6, 2023, 6:08:37 PM"
106334,Accepted,"Aug 8, 2023, 7:15:38 PM"
119349154,Accepted,"Aug 9, 2023, 4:19:57 AM"
