Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
2342084847,"May 4, 2019, 3:36:37 PM",Bear peak from NCAR,Hike,,18519,9.08,,,false,,,activities/2342084847.gpx,,,,10409.0,9079.900390625,2.0999999046325684,,843.9947509765625,,1851.300048828125,2567.800048828125,49.29999923706055,0.31718412041664124,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2350181410,"May 7, 2019, 10:13:58 PM",Polly stopped to pee a lot ,Run,,616,1.50,,,false,,,activities/2350181410.gpx,0.0,,,498.0,1508.0,4.400000095367432,,7.729220867156982,,1603.0999755859375,1606.199951171875,4.099999904632568,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2371106733,"May 15, 2019, 11:40:11 PM",Afternoon Run,Run,,701,1.64,,,false,,,activities/2371106733.gpx,0.0,,,552.0,1639.0,4.099999904632568,,6.864743709564209,,1600.4000244140625,1606.0999755859375,6.099999904632568,0.18303844332695007,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2399833834,"May 26, 2019, 5:19:21 PM",Long canyon trail w/ Spam Lookinback,Hike,,5016,5.21,,,false,,,activities/2399833834.gpx,,,,4504.0,5211.5,2.0,,222.97999572753906,,2053.60009765625,2278.800048828125,25.899999618530273,-0.7214813232421875,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2407618901,"May 29, 2019, 10:18:51 PM",Afternoon Run,Run,,940,2.66,,,false,,,activities/2407618901.gpx,0.0,,,915.0,2661.0,3.700000047683716,,15.510416984558105,,1584.0999755859375,1596.300048828125,5.800000190734863,-0.09770762920379639,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2412777503,"May 31, 2019, 10:29:22 PM",Afternoon Run,Run,,1048,3.00,,,false,,,activities/2412777503.gpx,0.0,,,1039.0,3005.199951171875,3.9000000953674316,,18.57282066345215,,1584.0999755859375,1596.300048828125,5.5,-0.10648209601640701,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2427211545,"Jun 6, 2019, 12:42:15 AM",SPORTS Wednesday ,Ride,,3248,13.71,,,false,,,activities/2427211545.gpx,0.0,,,2642.0,13713.0,9.300000190734863,,103.40777587890625,,1556.300048828125,1631.699951171875,11.5,0.2122073918581009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/7F623CC2-0006-4EFD-9153-372618B972D6.jpg|media/C9C6EF45-55BD-4AFD-AFDC-2192CB69AC12.jpg
2433431825,"Jun 8, 2019, 2:24:43 PM",Morning Run,Run,,1219,3.16,,,false,,,activities/2433431825.gpx,0.0,,,1212.0,3161.0,4.5,,29.986364364624023,,217.3000030517578,238.1999969482422,11.0,-0.05694400519132614,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2438002803,"Jun 10, 2019, 1:22:49 AM",Evening Run,Run,Had a wedgie the whole time ,1285,3.65,,,false,,,activities/2438002803.gpx,0.0,,,1276.0,3657.699951171875,3.5999999046325684,,3.0833332538604736,,1620.199951171875,1623.4000244140625,4.0,0.010935833677649498,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2443085995,"Jun 11, 2019, 11:08:45 PM",going to KG’s soccer game,Ride,"A couple wrong turns, easier than expected, time for an Upslope and a pretzel ",5801,27.21,,,false,,,activities/2443085995.gpx,0.0,,,4994.0,27218.19921875,14.600000381469727,,209.31524658203125,,1579.800048828125,1731.800048828125,21.899999618530273,0.018370062112808228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/D4B1427F-3B79-416B-8899-B25A74C12BEC.jpg
